qid,docid,docno,rank,score,query
Q1,1318,2045139846092444138,0,5.997773641794362,Hormuz strait Iran
Q1,1330,2045146116300370031,1,5.728364231563744,Hormuz strait Iran
Q1,1331,2045146324752888114,2,5.728364231563744,Hormuz strait Iran
Q1,151,1937280338733982195,3,5.688805165704723,Hormuz strait Iran
Q1,1302,2045132305883111888,4,5.671661021121065,Hormuz strait Iran
Q1,2057,2048407131825783067,5,5.661029916938805,Hormuz strait Iran
Q1,1317,2045139466164019545,6,5.650121702147241,Hormuz strait Iran
Q1,2235,2048867269246431579,7,5.561828048792678,Hormuz strait Iran
Q1,1322,2045143117657952637,8,5.517129346877335,Hormuz strait Iran
Q1,1218,2044634246187213163,9,5.498582228577065,Hormuz strait Iran
Q1,1276,2045123636856602795,10,5.498582228577065,Hormuz strait Iran
Q1,1337,2045150431471362500,11,5.498582228577065,Hormuz strait Iran
Q1,1320,2045141270931136914,12,5.409328817036376,Hormuz strait Iran
Q1,1326,2045145356141506704,13,5.409328817036376,Hormuz strait Iran
Q1,1314,2045135674244735060,14,5.400726965143134,Hormuz strait Iran
Q1,1284,2045127767289659677,15,5.354959181476619,Hormuz strait Iran
Q1,1353,2045162376631320705,16,5.259128251721897,Hormuz strait Iran
Q1,1272,2045122588888683007,17,5.233273104472611,Hormuz strait Iran
Q1,1281,2045127280024773030,18,5.218648019942385,Hormuz strait Iran
Q1,1290,2045128858123350457,19,5.218648019942385,Hormuz strait Iran
Q1,1346,2045156544468095142,20,5.218648019942385,Hormuz strait Iran
Q1,247,2024453604128522410,21,5.168489347267412,Hormuz strait Iran
Q1,1336,2045150416963256560,22,5.152648404850544,Hormuz strait Iran
Q1,1295,2045130530488713492,23,5.1108296047036825,Hormuz strait Iran
Q1,845,2041785127701807519,24,5.103011274516969,Hormuz strait Iran
Q1,1359,2045174625894551737,25,5.103011274516969,Hormuz strait Iran
Q1,1050,2043230105628295174,26,5.089104229744171,Hormuz strait Iran
Q1,1275,2045123605529543017,27,5.089104229744171,Hormuz strait Iran
Q1,1351,2045160693846978996,28,5.089104229744171,Hormuz strait Iran
Q1,105,1924347769172496806,29,5.0662969639803475,Hormuz strait Iran
Q1,1298,2045131607586025513,30,5.063325777483855,Hormuz strait Iran
Q1,1349,2045159014053388430,31,5.040282235313593,Hormuz strait Iran
Q1,127,1934024124676096318,32,4.993250339510754,Hormuz strait Iran
Q1,1515,2046605252250767422,33,4.987191768936501,Hormuz strait Iran
Q1,971,2042427545522749578,34,4.965836053500976,Hormuz strait Iran
Q1,1294,2045130184559333635,35,4.965836053500976,Hormuz strait Iran
Q1,1324,2045143388958171426,36,4.965836053500976,Hormuz strait Iran
Q1,1333,2045147505495568581,37,4.965836053500976,Hormuz strait Iran
Q1,1350,2045160176341410027,38,4.965836053500976,Hormuz strait Iran
Q1,2247,2048868063194526127,39,4.965836053500976,Hormuz strait Iran
Q1,1345,2045155262114259192,40,4.9359726968866315,Hormuz strait Iran
Q1,185,1963237063429337106,41,4.919339741213189,Hormuz strait Iran
Q1,2259,2048868969210429866,42,4.872274612750211,Hormuz strait Iran
Q1,295,2028420681340211294,43,4.867223145142413,Hormuz strait Iran
Q1,1280,2045127088655519760,44,4.867223145142413,Hormuz strait Iran
Q1,1347,2045158565447434702,45,4.867223145142413,Hormuz strait Iran
Q1,2174,2048830495220264989,46,4.8505181701614095,Hormuz strait Iran
Q1,1038,2043157123522244731,47,4.848398252407824,Hormuz strait Iran
Q1,1042,2043168734316273888,48,4.848398252407824,Hormuz strait Iran
Q1,1055,2043249111991034293,49,4.848398252407824,Hormuz strait Iran
Q1,1329,2045145752536535241,50,4.848398252407824,Hormuz strait Iran
Q1,1340,2045151254716850444,51,4.848398252407824,Hormuz strait Iran
Q1,1380,2045183560009605255,52,4.848398252407824,Hormuz strait Iran
Q1,1083,2043376370596594138,53,4.804355988644764,Hormuz strait Iran
Q1,1268,2045085593663918214,54,4.804355988644764,Hormuz strait Iran
Q1,1077,2043351138955596003,55,4.804065315312127,Hormuz strait Iran
