qid,docid,docno,rank,score,query
Q1,1276,2045123636856602795,0,6.265639416231076,Hormuz strait Iran
Q1,1318,2045139846092444138,1,5.52116847050394,Hormuz strait Iran
Q1,1317,2045139466164019545,2,5.5114139982291785,Hormuz strait Iran
Q1,1302,2045132305883111888,3,5.41218942808626,Hormuz strait Iran
Q1,1218,2044634246187213163,4,5.209838798389001,Hormuz strait Iran
Q1,1346,2045156544468095142,5,5.209838798389001,Hormuz strait Iran
Q1,1281,2045127280024773030,6,4.944762114678923,Hormuz strait Iran
Q1,1284,2045127767289659677,7,4.944762114678923,Hormuz strait Iran
Q1,1337,2045150431471362500,8,4.944762114678923,Hormuz strait Iran
Q1,2259,2048868969210429866,9,4.7901898819385345,Hormuz strait Iran
Q1,1330,2045146116300370031,10,4.756317520217337,Hormuz strait Iran
Q1,1331,2045146324752888114,11,4.756317520217337,Hormuz strait Iran
Q1,1290,2045128858123350457,12,4.709318333715392,Hormuz strait Iran
Q1,1275,2045123605529543017,13,4.498353766790114,Hormuz strait Iran
Q1,1324,2045143388958171426,14,4.498353766790114,Hormuz strait Iran
Q1,1322,2045143117657952637,15,4.4403126256206615,Hormuz strait Iran
Q1,1378,2045182794498728129,16,4.307907574768905,Hormuz strait Iran
Q1,2057,2048407131825783067,17,4.136905395496042,Hormuz strait Iran
Q1,1294,2045130184559333635,18,4.134874516111006,Hormuz strait Iran
Q1,1326,2045145356141506704,19,4.063570178593393,Hormuz strait Iran
Q1,971,2042427545522749578,20,3.9767783185945884,Hormuz strait Iran
Q1,1050,2043230105628295174,21,3.9767783185945884,Hormuz strait Iran
Q1,1351,2045160693846978996,22,3.9767783185945884,Hormuz strait Iran
Q1,1380,2045183560009605255,23,3.9767783185945884,Hormuz strait Iran
Q1,469,2036027055003881722,24,3.963279150464215,Hormuz strait Iran
Q1,1320,2045141270931136914,25,3.9536867925834613,Hormuz strait Iran
Q1,964,2042343832587530364,26,3.831614953545448,Hormuz strait Iran
Q1,1262,2045023484120617094,27,3.831614953545448,Hormuz strait Iran
Q1,1333,2045147505495568581,28,3.831614953545448,Hormuz strait Iran
Q1,1515,2046605252250767422,29,3.8051243787898406,Hormuz strait Iran
Q1,1314,2045135674244735060,30,3.703907005393002,Hormuz strait Iran
Q1,148,1937091808774803843,31,3.6977415341097757,Hormuz strait Iran
Q1,1350,2045160176341410027,32,3.6977415341097757,Hormuz strait Iran
