qid,docid,docno,rank,score,query
Q1,1302,2045132305883111888,0,5.887638612694219,Hormuz strait Iran
Q1,1318,2045139846092444138,1,5.855625386423021,Hormuz strait Iran
Q1,1276,2045123636856602795,2,5.785974010309959,Hormuz strait Iran
Q1,1330,2045146116300370031,3,5.658540738299738,Hormuz strait Iran
Q1,1331,2045146324752888114,4,5.658540738299738,Hormuz strait Iran
Q1,1317,2045139466164019545,5,5.598708734585486,Hormuz strait Iran
Q1,2057,2048407131825783067,6,5.550202171036629,Hormuz strait Iran
Q1,1218,2044634246187213163,7,5.5095493913147,Hormuz strait Iran
Q1,1346,2045156544468095142,8,5.5095493913147,Hormuz strait Iran
Q1,1322,2045143117657952637,9,5.444795993211361,Hormuz strait Iran
Q1,1281,2045127280024773030,10,5.4231852565064385,Hormuz strait Iran
Q1,1284,2045127767289659677,11,5.4231852565064385,Hormuz strait Iran
Q1,1337,2045150431471362500,12,5.4231852565064385,Hormuz strait Iran
Q1,1353,2045162376631320705,13,5.405783019860783,Hormuz strait Iran
Q1,1290,2045128858123350457,14,5.339486911205598,Hormuz strait Iran
Q1,1326,2045145356141506704,15,5.261209364083539,Hormuz strait Iran
Q1,1275,2045123605529543017,16,5.258332804538673,Hormuz strait Iran
Q1,1324,2045143388958171426,17,5.258332804538673,Hormuz strait Iran
Q1,2235,2048867269246431579,18,5.237102318547676,Hormuz strait Iran
Q1,1320,2045141270931136914,19,5.202856090776141,Hormuz strait Iran
Q1,1378,2045182794498728129,20,5.179608664736252,Hormuz strait Iran
Q1,1294,2045130184559333635,21,5.103206962281706,Hormuz strait Iran
Q1,247,2024453604128522410,22,5.092981418995616,Hormuz strait Iran
Q1,1272,2045122588888683007,23,5.072653542317497,Hormuz strait Iran
Q1,1349,2045159014053388430,24,5.072653542317497,Hormuz strait Iran
Q1,1347,2045158565447434702,25,5.071459540838253,Hormuz strait Iran
Q1,1314,2045135674244735060,26,5.061773848633756,Hormuz strait Iran
Q1,1345,2045155262114259192,27,5.058195296963856,Hormuz strait Iran
Q1,1344,2045154367410413800,28,5.053251904862953,Hormuz strait Iran
Q1,185,1963237063429337106,29,5.035736144802413,Hormuz strait Iran
Q1,845,2041785127701807519,30,5.035736144802413,Hormuz strait Iran
Q1,1359,2045174625894551737,31,5.035736144802413,Hormuz strait Iran
Q1,971,2042427545522749578,32,5.02902641988209,Hormuz strait Iran
Q1,1050,2043230105628295174,33,5.02902641988209,Hormuz strait Iran
Q1,1351,2045160693846978996,34,5.02902641988209,Hormuz strait Iran
Q1,1380,2045183560009605255,35,5.02902641988209,Hormuz strait Iran
Q1,1077,2043351138955596003,36,4.999352214482651,Hormuz strait Iran
Q1,964,2042343832587530364,37,4.9569715645652845,Hormuz strait Iran
Q1,1262,2045023484120617094,38,4.9569715645652845,Hormuz strait Iran
Q1,1333,2045147505495568581,39,4.9569715645652845,Hormuz strait Iran
Q1,1515,2046605252250767422,40,4.944719203385234,Hormuz strait Iran
Q1,459,2035736886304723059,41,4.930228602354856,Hormuz strait Iran
Q1,1295,2045130530488713492,42,4.930228602354856,Hormuz strait Iran
Q1,1299,2045131644584005644,43,4.930228602354856,Hormuz strait Iran
Q1,105,1924347769172496806,44,4.912514576562966,Hormuz strait Iran
Q1,1298,2045131607586025513,45,4.907805435329065,Hormuz strait Iran
Q1,148,1937091808774803843,46,4.886952317737984,Hormuz strait Iran
Q1,1350,2045160176341410027,47,4.886952317737984,Hormuz strait Iran
Q1,151,1937280338733982195,48,4.874350547459191,Hormuz strait Iran
Q1,1088,2043408594071146508,49,4.872530836275303,Hormuz strait Iran
Q1,1859,2047693387038355861,50,4.8513125465327676,Hormuz strait Iran
Q1,2174,2048830495220264989,51,4.8467818988949,Hormuz strait Iran
Q1,917,2042088641720127656,52,4.836785131675706,Hormuz strait Iran
Q1,1280,2045127088655519760,53,4.836785131675706,Hormuz strait Iran
Q1,1287,2045128179199643970,54,4.818883619503353,Hormuz strait Iran
Q1,1289,2045128836933673314,55,4.818883619503353,Hormuz strait Iran
Q1,1341,2045151978179764506,56,4.818883619503353,Hormuz strait Iran
Q1,1492,2046561418204598664,57,4.818883619503353,Hormuz strait Iran
Q1,1083,2043376370596594138,58,4.799804058209525,Hormuz strait Iran
Q1,1268,2045085593663918214,59,4.799804058209525,Hormuz strait Iran
Q1,1283,2045127570564243877,60,4.7804562925126115,Hormuz strait Iran
Q1,1336,2045150416963256560,61,4.775227336944945,Hormuz strait Iran
Q1,295,2028420681340211294,62,4.763393517281421,Hormuz strait Iran
Q1,1092,2043424960853819509,63,4.763393517281421,Hormuz strait Iran
Q1,1343,2045153535508025790,64,4.752685083943884,Hormuz strait Iran
Q1,2247,2048868063194526127,65,4.752685083943884,Hormuz strait Iran
Q1,127,1934024124676096318,66,4.741731234419715,Hormuz strait Iran
Q1,1414,2045632787168821742,67,4.72927398808788,Hormuz strait Iran
Q1,2259,2048868969210429866,68,4.694882880939246,Hormuz strait Iran
Q1,1759,2047278856386593280,69,4.6922309870367975,Hormuz strait Iran
Q1,1038,2043157123522244731,70,4.688280682432161,Hormuz strait Iran
Q1,1042,2043168734316273888,71,4.688280682432161,Hormuz strait Iran
Q1,1055,2043249111991034293,72,4.688280682432161,Hormuz strait Iran
Q1,1323,2045143289196925422,73,4.688280682432161,Hormuz strait Iran
Q1,1329,2045145752536535241,74,4.688280682432161,Hormuz strait Iran
Q1,2119,2048668450969518512,75,4.659470472025899,Hormuz strait Iran
Q1,941,2042286290172068186,76,4.639835762892678,Hormuz strait Iran
Q1,961,2042335225028686131,77,4.625598452346403,Hormuz strait Iran
Q1,1274,2045123028720201844,78,4.625598452346403,Hormuz strait Iran
Q1,1300,2045132211179999466,79,4.625598452346403,Hormuz strait Iran
Q1,213,2015337785000153258,80,4.623195588914407,Hormuz strait Iran
Q1,2187,2048862167915503949,81,4.617446684182756,Hormuz strait Iran
Q1,1282,2045127314644586980,82,4.594847921886893,Hormuz strait Iran
Q1,1342,2045152846224527367,83,4.56457022884452,Hormuz strait Iran
