qid,docid,docno,rank,score,query
Q1,1302,2045132305883111888,0,5.883471000836521,Hormuz strait Iran
Q1,1318,2045139846092444138,1,5.851637591719633,Hormuz strait Iran
Q1,1276,2045123636856602795,2,5.782337214371817,Hormuz strait Iran
Q1,1330,2045146116300370031,3,5.654636800366708,Hormuz strait Iran
Q1,1331,2045146324752888114,4,5.654636800366708,Hormuz strait Iran
Q1,1317,2045139466164019545,5,5.595189644947598,Hormuz strait Iran
Q1,2057,2048407131825783067,6,5.546924302981879,Hormuz strait Iran
Q1,1218,2044634246187213163,7,5.506086343120634,Hormuz strait Iran
Q1,1346,2045156544468095142,8,5.506086343120634,Hormuz strait Iran
Q1,1322,2045143117657952637,9,5.441041602856665,Hormuz strait Iran
Q1,1281,2045127280024773030,10,5.4197764928173005,Hormuz strait Iran
Q1,1284,2045127767289659677,11,5.4197764928173005,Hormuz strait Iran
Q1,1337,2045150431471362500,12,5.4197764928173005,Hormuz strait Iran
Q1,1353,2045162376631320705,13,5.402186907030237,Hormuz strait Iran
Q1,1290,2045128858123350457,14,5.336130756429267,Hormuz strait Iran
Q1,1326,2045145356141506704,15,5.257561388811342,Hormuz strait Iran
Q1,1275,2045123605529543017,16,5.255027659484295,Hormuz strait Iran
Q1,1324,2045143388958171426,17,5.255027659484295,Hormuz strait Iran
Q1,2235,2048867269246431579,18,5.233595210668141,Hormuz strait Iran
Q1,1320,2045141270931136914,19,5.199242216967127,Hormuz strait Iran
Q1,1378,2045182794498728129,20,5.176353002038925,Hormuz strait Iran
Q1,1294,2045130184559333635,21,5.099999322164615,Hormuz strait Iran
Q1,247,2024453604128522410,22,5.089770999207087,Hormuz strait Iran
Q1,1272,2045122588888683007,23,5.069465106668561,Hormuz strait Iran
Q1,1349,2045159014053388430,24,5.069465106668561,Hormuz strait Iran
Q1,1347,2045158565447434702,25,5.068288535203429,Hormuz strait Iran
Q1,1314,2045135674244735060,26,5.057924941868539,Hormuz strait Iran
Q1,1345,2045155262114259192,27,5.055006701953161,Hormuz strait Iran
Q1,1344,2045154367410413800,28,5.0504325505062635,Hormuz strait Iran
Q1,185,1963237063429337106,29,5.03257091372389,Hormuz strait Iran
Q1,845,2041785127701807519,30,5.03257091372389,Hormuz strait Iran
Q1,1359,2045174625894551737,31,5.03257091372389,Hormuz strait Iran
Q1,971,2042427545522749578,32,5.0258654062266475,Hormuz strait Iran
Q1,1050,2043230105628295174,33,5.0258654062266475,Hormuz strait Iran
Q1,1351,2045160693846978996,34,5.0258654062266475,Hormuz strait Iran
Q1,1380,2045183560009605255,35,5.0258654062266475,Hormuz strait Iran
Q1,1077,2043351138955596003,36,4.996209852661709,Hormuz strait Iran
Q1,964,2042343832587530364,37,4.953855841262801,Hormuz strait Iran
Q1,1262,2045023484120617094,38,4.953855841262801,Hormuz strait Iran
Q1,1333,2045147505495568581,39,4.953855841262801,Hormuz strait Iran
Q1,1515,2046605252250767422,40,4.941678864185457,Hormuz strait Iran
Q1,459,2035736886304723059,41,4.926775841422784,Hormuz strait Iran
Q1,1295,2045130530488713492,42,4.926775841422784,Hormuz strait Iran
Q1,1299,2045131644584005644,43,4.926775841422784,Hormuz strait Iran
Q1,105,1924347769172496806,44,4.9094435498603435,Hormuz strait Iran
Q1,1298,2045131607586025513,45,4.904705007111316,Hormuz strait Iran
Q1,148,1937091808774803843,46,4.883880605299012,Hormuz strait Iran
Q1,1350,2045160176341410027,47,4.883880605299012,Hormuz strait Iran
Q1,151,1937280338733982195,48,4.871303519132572,Hormuz strait Iran
Q1,1088,2043408594071146508,49,4.86909016195039,Hormuz strait Iran
Q1,1859,2047693387038355861,50,4.848273063636552,Hormuz strait Iran
Q1,2174,2048830495220264989,51,4.84371970931763,Hormuz strait Iran
Q1,917,2042088641720127656,52,4.833761722538194,Hormuz strait Iran
Q1,1280,2045127088655519760,53,4.833761722538194,Hormuz strait Iran
Q1,1287,2045128179199643970,54,4.8158546919031675,Hormuz strait Iran
